id	time	latitude	longitude
22020	736887	50.908714	6.963188
22020	736909	50.910618	6.962608
22020	737045	50.958798	6.949119
22020	737095	50.910759	6.926515
22020	737411	50.917273	7.107856
22020	737436	51.019465	6.898331
22020	737505	50.930431	6.922480
22020	737595	50.935167	6.953133
22020	737605	50.901421	6.983532
22020	73772	50.992622	6.961991
22020	737801	50.928689	7.055940
22020	737906	50.942844	6.852950
22020	738600	50.910972	6.955803
22020	738619	51.002948	6.871504
22020	738772	50.944944	6.942142
22020	739046	50.944546	6.983671
22020	739074	50.942489	6.835351
22020	73925	50.999590	6.869472
22020	739281	50.949940	6.887510
22020	739699	50.948281	6.915046
22020	739703	50.940240	7.019713
22020	73973	50.910410	6.962670
22020	74001	50.904069	7.061513
22020	740149	50.938136	6.839825
22020	74016	50.890411	6.967866
22020	740193	50.933962	6.975670
22020	740195	50.957215	6.955569
22020	740370	50.973158	6.925145
22020	74054	51.008404	6.993830
22020	740575	50.968482	7.039519
22020	74086	50.894182	7.067278
22020	741032	50.997562	7.037037
22020	741090	50.907726	7.050747
22020	741650	50.975183	7.060567
22020	741877	50.940001	7.015486
22020	741998	50.937183	6.978011
22020	742142	50.929425	7.041206
22020	742148	50.888802	6.982287
22020	742243	50.973767	7.012599
22020	742282	50.969583	6.959177
22020	742343	50.949787	7.027521
22020	742449	50.978525	6.902731
22020	742817	50.963413	6.958438
22020	743214	50.996201	6.913896
22020	743419	50.861789	6.927379
22020	743633	50.919425	7.025520
22020	743640	50.937415	6.997457
22020	744189	50.937128	6.899715
22020	744290	50.928301	6.910288
22020	744405	50.882726	7.065931
22020	744553	50.999890	6.869382
22020	744612	50.955771	6.922207
22020	745194	50.935398	6.952905
22020	745226	50.884630	7.081363
22020	745307	50.968713	6.952825
22020	745421	50.945035	6.912277
22020	745441	51.017119	6.837607
22020	745552	50.935081	6.954688
22020	745898	50.934028	6.846120
22020	746037	50.937624	6.956844
22020	74605	50.957643	6.973653
22020	74610	50.909448	6.962968
22020	746236	50.955279	6.916283
22020	746243	50.926741	6.964012
22020	746423	50.929730	6.920464
22020	746429	50.920920	6.950998
22020	746682	50.946733	6.944078
22020	746974	50.961404	6.872092
22020	747064	50.893037	7.077856
22020	747072	50.935076	6.954323
22020	747135	50.916874	6.916862
22020	747311	50.964159	7.006708
22020	747855	50.973964	6.916806
22020	748162	50.884479	7.055723
22020	748501	50.957252	7.011567
22020	748956	50.922245	7.084762
22020	749100	50.960053	6.957996
22020	749117	50.954588	6.965402
22020	749139	50.967131	7.033062
22020	749692	50.937753	6.875585
22020	750053	50.955998	6.869462
22020	750073	50.947074	7.045806
22020	750109	50.933349	6.976839
22020	750193	50.925457	6.928961
22020	750248	50.979836	6.948252
22020	750477	50.925851	7.068039
22020	750510	50.951900	6.918412
22020	75086	50.928792	6.919455
22020	750931	50.997614	6.929097
22020	750945	50.939796	7.013731
22020	751025	50.916909	6.840663
22020	75110	50.952662	6.923209
22020	751229	50.923437	7.046342
22020	751323	50.883078	7.060829
22020	751647	50.929840	6.939959
22020	752009	50.882194	7.105528
22020	752028	50.922445	7.045319
22020	752158	50.970398	7.008425
22020	752226	50.936898	6.984849
22020	752321	50.890621	6.997615
22020	752531	50.893366	6.967272
22020	752600	50.912384	6.966868
22020	753040	50.949299	6.930709
22020	753171	50.946163	7.080663
22020	753414	50.940208	7.018558
22020	753529	50.988923	7.029607
22020	753914	50.927178	7.022780
22020	754006	50.945205	6.986667
22020	754097	50.918141	6.949324
22020	754332	50.930721	7.000367
22020	754520	50.935470	6.931528
22020	75459	50.869892	6.999951
22020	755146	50.882770	7.105128
22020	755153	50.929370	6.927615
22020	755167	50.936602	6.924610
22020	755267	50.936087	6.900647
22020	755297	50.887350	6.934444
22020	755797	50.891255	6.997142
22020	755872	50.940303	7.028790
22020	755890	50.974560	6.959775
22020	755959	50.969005	6.868178
22020	756046	50.987965	6.965064
22020	756251	50.961311	6.954343
22020	756477	50.969463	7.032897
22020	756565	50.923854	6.912539
22020	756851	50.938549	6.905666
22020	756892	50.940966	7.039303
22020	757003	50.928057	6.963027
22020	757184	50.915078	6.947557
22020	757240	50.977462	6.960170
22020	757308	50.937665	6.866550
22020	757399	51.040228	7.008272
22020	757519	50.930501	6.923803
22020	757585	50.912727	6.935628
22020	757961	50.953765	6.898674
22020	75797	50.927658	7.060774
22020	758420	50.962148	6.954148
22020	758548	50.985152	6.857019
22020	758879	50.921458	7.074935
22020	759134	50.941525	6.940380
22020	759164	50.858505	7.092579
22020	759233	51.067634	6.865242
22020	759394	50.920866	6.986951
22020	7594	50.927697	6.908677
22020	759443	50.932107	6.953727
22020	759731	50.945553	6.947313
22020	760243	50.931948	7.027062
22020	760264	51.005042	6.912673
22020	760822	50.978075	6.948761
22020	761104	50.928555	7.041981
22020	761254	50.912708	6.922900
22020	761397	50.963443	6.953892
22020	761662	50.931760	6.954069
22020	761850	50.923705	6.912058
22020	762567	50.981784	6.967426
22020	76260	50.860571	6.997608
22020	762868	50.942422	6.834423
22020	762941	50.937211	6.900330
22020	763081	50.938757	6.925202
22020	763210	50.895974	6.950048
22020	763222	50.956894	7.075533
22020	763339	50.937188	6.995243
22020	763861	50.958454	6.898488
22020	764147	50.964802	7.005772
22020	764200	50.989070	6.954801
22020	764397	50.969796	7.007444
22020	764423	50.931393	6.953612
22020	764484	50.946846	6.946528
22020	764502	50.946347	6.942451
22020	764512	50.893257	7.075887
22020	764570	50.893411	7.090383
22020	764987	50.957790	7.034484
22020	76532	50.970531	7.047710
22020	765336	50.877718	7.082396
22020	765521	50.971754	7.010450
22020	765685	51.000037	6.912553
22020	765897	50.977476	6.948525
22020	76594	50.960841	6.947701
22020	766047	50.956498	6.953119
22020	76618	50.912276	6.966550
22020	766224	50.988837	7.029720
22020	766288	50.979411	6.948338
22020	766383	50.954545	6.965379
22020	766822	50.997744	6.900870
22020	766855	50.968223	7.066814
22020	766916	50.922779	6.952110
22020	766980	50.957595	6.957366
22020	767150	50.881310	7.084725
22020	767271	50.974036	7.063336
22020	767728	50.914313	6.921023
22020	767849	50.957932	6.974279
22020	76787	50.889012	6.968125
22020	767977	50.936157	6.939067
22020	768191	50.975121	6.871254
22020	768274	50.968765	7.006634
22020	768287	50.911164	6.962314
22020	769009	50.958257	6.898921
22020	769023	50.968089	7.067004
22020	769075	50.989933	6.953415
22020	769362	50.967613	6.953079
22020	769416	50.967664	6.951156
22020	769555	50.978030	6.945632
22020	769636	50.922394	6.913591
22020	77011	50.895364	6.949529
22020	770291	50.950247	7.024430
22020	770637	50.925035	6.937496
22020	771215	50.996662	6.899161
22020	771554	50.967398	6.953174
22020	771637	50.877028	7.082661
22020	771662	50.878012	7.082316
22020	771721	50.934201	6.939530
22020	772039	50.958274	6.974795
22020	77210	50.943794	6.952552
22020	772104	50.904183	6.948996
22020	77238	50.961234	7.003671
22020	772381	50.922283	6.951770
22020	772431	50.945159	6.955990
22020	772589	50.932584	6.973847
22020	772618	50.966774	7.006700
22020	772658	50.926986	6.939495
22020	772910	50.983253	6.900960
22020	773471	50.935937	6.960627
22020	773897	50.932802	6.939387
22020	774165	50.882448	7.055642
22020	775150	50.892577	6.982618
22020	775198	50.961754	7.003831
22020	775306	50.999688	6.881693
22020	775365	50.887738	6.997864
22020	775409	50.937434	6.900223
22020	775568	50.880680	7.094289
22020	775680	51.000270	6.912907
22020	776029	50.987165	6.858658
22020	776299	50.885439	7.003991
22020	776380	50.920125	6.932353
22020	776669	50.996957	6.899632
22020	776764	50.908899	7.001425
22020	777070	50.942085	6.834314
22020	777195	50.938212	6.844436
22020	777202	50.978351	6.931752
22020	77757	50.919038	6.926130
22020	777677	50.963363	6.958018
22020	777717	50.996775	6.871274
22020	777756	50.886064	7.003235
22020	777925	50.929726	7.040721
22020	778093	50.903968	7.061373
22020	778226	50.933660	6.935675
22020	77826	50.921434	6.951336
22020	778295	50.905582	7.018041
22020	778648	50.936262	6.952503
22020	778951	50.883221	7.081061
22020	779178	50.921829	6.966443
22020	779208	50.861935	7.104586
22020	779261	50.910765	6.956666
22020	779744	51.005726	6.930976
22020	779748	50.935225	6.952395
22020	780053	50.911990	6.924583
22020	780064	50.904956	6.942760
22020	780079	50.863244	7.011088
22020	780092	50.878508	7.053531
22020	780118	50.964861	7.005842
22020	78020	50.931673	7.029478
22020	78024	50.931622	6.954215
22020	780260	50.950278	7.024755
